gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ISG15,1627.707244,-2.287960884,0.119140859,-19.20383062,6.55132164568596e-47,7.94729909968754e-44
PADI1,59.86050609,1.579444204,0.252603072,6.252672206,3.80152524777394e-05,0.0062885
IFI6,340.3572866,-1.676650956,0.130046219,-12.89273133,1.68776619669109e-17,8.77457590186866e-15
RAB3B,423.2976136,0.924717057,0.101707425,9.091932637,0.000350355,0.049515776
IFI44L,282.111623,-3.93634292,0.446977723,-8.806575178,2.97968802656663e-14,1.1723059081819e-11
IFI44,1394.412793,-3.839948976,0.157365793,-24.40142106,1.24916668174418e-95,3.03068656435834e-92
GBP4,249.5918319,-3.367490646,0.339587907,-9.916403317,1.12030237121563e-16,5.0963255055581e-14
FNDC7,19.69093976,3.488385476,0.601675795,5.797782637,6.69734562234322e-07,0.000143372
AMPD1,23.81250626,2.220337828,0.421809364,5.263841955,5.03678196761815e-05,0.008146715
TCHHL1,40.64750286,2.403793423,0.340325817,7.063212082,4.18505227994267e-08,1.05037596619182e-05
SPRR1A,16.96185257,2.517142059,0.527251048,4.774086407,0.000119374,0.018291904
SPRR1B,62.34975236,1.500805648,0.250030301,6.002495065,0.000115354,0.017863891
NCF2,49.00321335,-2.329006774,0.313250163,-7.434973871,1.17918114985365e-08,3.28314506079862e-06
PXDN,1568.195936,0.874147191,0.054244327,16.11499759,2.93633926872688e-08,7.91560939534391e-06
CMPK2,132.3233447,-3.314289012,0.350957718,-9.443556427,3.32573805671978e-15,1.38322196833342e-12
RSAD2,128.9314792,-9.410239612,1.191121122,-7.900321334,6.15827233211809e-14,2.35910448259587e-11
RNF144A,41.16907799,-2.699806021,0.361304712,-7.472379767,2.21759581526033e-09,7.01772658320534e-07
ODC1,5284.510399,1.213531503,0.076618319,15.83866003,6.77314956185811e-17,3.18053994103124e-14
IL1R2,46.92389118,3.460893259,0.368855478,9.382789365,2.85129342744081e-15,1.22077289480164e-12
IL1RL1,388.8689085,2.068829657,0.114573913,18.0567251,6.57400201151235e-39,6.83555337725609e-36
IFIH1,630.5847037,-1.068307671,0.09963779,-10.72191258,4.77167875843761e-07,0.000105244
SCN3A,20.1405041,-5.82925777,1.083879875,-5.378140053,6.41061725912326e-07,0.000139283
MROH2A,12.11461013,3.551090518,0.741236292,4.790767201,3.05924094316238e-05,0.005178299
ACKR3,211.1849987,-1.102313203,0.146461449,-7.526302704,0.000181086,0.027176008
DTX3L,2430.075205,-0.812765876,0.057536776,-14.12602394,2.61041396090815e-05,0.004523785
PARP14,3711.202672,-0.858936899,0.052804044,-16.26649835,6.37194808539401e-08,1.57214319117086e-05
TNFSF10,630.754829,-0.991721163,0.096721274,-10.25339227,1.0369622981642e-05,0.001935264
RTP4,22.60780216,-2.602259634,0.476600843,-5.460039935,1.10232260889416e-05,0.002016608
PPM1K,153.1252633,-1.655763398,0.18929464,-8.747016823,6.61721256068464e-09,2.00680756762263e-06
HERC6,797.3041867,-1.76105196,0.077963949,-22.58802921,3.86439583836193e-52,5.62540102190347e-49
HERC5,1548.127874,-5.493843283,0.198320128,-27.70189464,7.86983854521686e-136,2.29122479405444e-132
FGF2,404.1923087,-2.501766816,0.119753255,-20.89101308,2.96509931230113e-58,4.7958834099075e-55
SLC7A11,2155.400373,-0.837026593,0.054009715,-15.49770419,9.73275766052916e-07,0.000196777
DDX60,2826.094683,-4.484653924,0.156206044,-28.70986166,3.31026602039799e-138,1.20468856147334e-134
DDX60L,1100.001085,-1.024079054,0.068379961,-14.97630357,4.17139387110766e-11,1.51807451454286e-08
VEGFC,124.8085706,-1.498763226,0.180534073,-8.301830258,1.79845204554598e-07,4.15556609952584e-05
FST,552.0097215,0.99219452,0.089053843,11.14151266,1.84074019686787e-06,0.000357275
MAP1B,489.0731806,1.049635978,0.093735729,11.19782168,2.71848975997892e-07,6.08816237477124e-05
SPOCK1,278.9187288,-2.471812836,0.138852135,-17.80176329,1.42873052367494e-42,1.59984847947201e-39
TMEM173,291.3344938,-1.60971061,0.117488549,-13.70099999,9.39297819469071e-19,5.94493841652664e-16
SPRY4,68.21355838,1.713576183,0.243342451,7.041830058,1.59370994746516e-06,0.000313509
BTN3A1,334.1322543,-1.003239745,0.109329214,-9.176319043,5.41413125193457e-05,0.008660825
ETV7,46.09766035,-1.616557181,0.296757973,-5.447392574,0.000238869,0.035123361
CD24,140.0868283,1.131939125,0.160163631,7.067391768,0.000284375,0.040986594
CYP2W1,21.43223535,-2.582425096,0.498442278,-5.180991279,2.94262431924135e-05,0.005039504
SP8,60.80536827,-1.753684357,0.255803684,-6.855586784,2.23517444180165e-06,0.000428124
PRR15,56.29548802,-1.734141988,0.274118658,-6.32624572,1.27474312682364e-05,0.002290918
GRB10,736.286277,-1.133886167,0.089828772,-12.62275046,3.50147086872678e-10,1.1584298053649e-07
SAMD9,8515.716539,-1.038217563,0.095041157,-10.92387341,7.1329260651592e-07,0.000150484
SAMD9L,534.8187208,-1.027726297,0.100834007,-10.19225882,4.49311554394847e-06,0.000849432
PTPRZ1,28.30780339,-3.19778637,0.485215383,-6.590447218,3.42423658274977e-08,8.88948517841946e-06
PODXL,670.1578467,-1.488673605,0.088546932,-16.81225501,5.22291370566056e-25,4.47235028313534e-22
ZC3HAV1,5279.745934,-0.806437906,0.041942529,-19.2272123,3.35503795151771e-08,8.87987044731698e-06
STC1,181.0065103,1.944257705,0.152443506,12.75395557,1.78924620243606e-19,1.18391168040281e-16
DDX58,1095.320307,-2.84849431,0.1523778,-18.69363066,1.99265165290462e-50,2.63700273739387e-47
TRIM14,1738.075459,-0.858796229,0.054459474,-15.76945507,1.53308382423191e-07,3.59953245634579e-05
KLF4,496.8792163,-1.542301594,0.09881349,-15.60820895,1.03224471697698e-22,7.90862439212314e-20
IFIT2,1763.56312,-4.961314879,0.157671758,-31.46609728,3.06530924404095e-170,2.23108533327521e-166
IFIT3,1684.470301,-4.275504335,0.191858174,-22.28471299,5.6367993995017e-83,1.17221269797923e-79
IFIT1,1269.325225,-2.81869218,0.123856844,-22.75766183,2.51522463645413e-73,4.57676562910784e-70
IFITM1,2735.654164,-0.82799892,0.049434883,-16.74928439,2.62862056253658e-07,5.97887961388204e-05
TRIM22,404.3919489,-0.995609852,0.119577318,-8.326076123,0.000254801,0.037091372
UBE2L6,1175.128636,-0.948530863,0.064956497,-14.60255563,6.99534379191294e-09,2.07818815467095e-06
RPLP0P2,117.6954538,1.207222308,0.177551382,6.799284216,0.000205728,0.030559072
RARRES3,88.22469269,-2.482183567,0.244648544,-10.14591595,3.76736283854631e-15,1.52337502335329e-12
CST6,163.27669,1.121307421,0.15859736,7.070151856,0.000321151,0.045833283
MMP10,211.7747347,2.379459522,0.148545794,16.01835674,4.46103991674814e-34,4.32929053787351e-31
MMP1,267.2265868,1.993376993,0.139384605,14.30127088,1.83319451739516e-24,1.48254514387341e-21
MMP3,15.94660088,2.893473745,0.570847667,5.06873184,2.53156505799676e-05,0.004439999
MMP12,88.73773311,1.878065543,0.214313252,8.763179738,6.94017780377441e-10,2.24507040643431e-07
MMP13,367.1592504,1.639741792,0.125781375,13.03644355,1.79962730426922e-17,9.03350850629208e-15
KRT81,60.05431147,1.540238523,0.266967097,5.769394582,0.000161052,0.024421167
OAS1,432.5041593,-2.431759813,0.286288875,-8.494077212,4.96045111093701e-11,1.76120211760756e-08
OAS3,6765.493359,-1.091661093,0.076051852,-14.35416847,8.61280451661037e-12,3.21478449611018e-09
OAS2,517.3614138,-3.454881631,0.31626493,-10.92401118,4.94714275952487e-20,3.42931224525731e-17
OASL,3015.357593,-7.592952025,0.251191914,-30.2276928,7.91042191993185e-172,1.15152011888448e-167
HCAR2,453.9061917,-1.129511464,0.114091764,-9.90002632,7.3086026251009e-07,0.000151988
EPSTI1,157.8448643,-2.029631941,0.177682338,-11.42281196,1.69521758513239e-16,7.47796435962795e-14
LOC101928841,19.65348314,2.50179516,0.490418616,5.101346233,4.45171993489865e-05,0.007281313
IRF9,965.4683287,-1.300383175,0.082791323,-15.70675682,1.64208410690772e-18,9.95992431010656e-16
WARS,8641.022657,-1.088761913,0.09661745,-11.26879166,6.98146870894976e-08,1.69382066660303e-05
KIAA1199,282.0512385,1.088957379,0.127393202,8.548002241,3.23240536261341e-05,0.00540852
ISG20,155.2887533,-2.164736482,0.173735748,-12.45993703,3.70342968040282e-20,2.69554129288119e-17
ANPEP,31.82222428,1.993869003,0.383791783,5.195184191,0.000114825,0.017863891
GPRC5B,394.3633228,0.98763666,0.099595283,9.916500311,2.12976916008729e-05,0.00378086
CNGB1,125.4271501,1.393105218,0.171638206,8.116521681,1.08281178433136e-06,0.000215925
CDH11,171.8827913,1.59255652,0.16164894,9.851945358,1.87705380632277e-10,6.3544819206141e-08
PLCG2,646.7844231,-1.390810677,0.09526053,-14.60007283,8.58435161499703e-18,4.80624640228891e-15
XAF1,104.9731672,-3.134753529,0.405250022,-7.735356835,1.44897720647809e-10,5.02208599873845e-08
DHX58,139.7215084,-1.472786732,0.185842409,-7.924922714,7.77638387146808e-07,0.000159438
PMAIP1,378.2867881,-1.207269898,0.116330005,-10.37797509,3.48080411602603e-08,8.88948517841946e-06
BST2,170.400665,-2.03453281,0.171727795,-11.84742872,1.2270641074399e-17,6.6156934118528e-15
IGFL1,1155.692083,2.292085685,0.068053198,33.68079332,5.76904595638507e-140,2.79933339956992e-136
ZNFX1,3775.203756,-0.81649371,0.042374404,-19.26855937,1.19534717470857e-08,3.28314506079862e-06
FAM65C,800.310322,1.196123667,0.074296739,16.09927539,5.53337503882587e-17,2.68497801467294e-14
MX2,123.9111813,-3.131640756,0.451522863,-6.935730197,7.96711750217429e-09,2.31121586555884e-06
MX1,651.9478193,-2.979119104,0.228001264,-13.06623942,3.40602312087717e-26,3.09884241066306e-23
LIF,1481.890785,0.816926787,0.055854137,14.62607492,1.10825465034053e-05,0.002016608
APOL6,4310.28051,-1.043169798,0.080732351,-12.9213356,4.81548939102233e-09,1.49146976734281e-06
APOL3,356.0017213,-1.049290368,0.123208277,-8.516395108,6.9787786579371e-05,0.0110424
APOL1,1055.045842,-1.330546989,0.132877741,-10.01331737,8.09727341784028e-09,2.31121586555884e-06
SLC12A7_1,184.6978807,1.341727374,0.145071142,9.248754459,7.5754544523998e-08,1.80780148300957e-05
HLA-B_3,855.6108785,-1.340122826,0.088554672,-15.13328203,4.59523329477263e-18,2.6757124428802e-15
